"Trans #"	"Date"	"Cleared"	"Name"	"Memo"	"Account"	"Debit"	"Credit"
1	05/12/2009			"Account Opening Balance"	"Assets:Westmark Savings"	4,729.04	
				"Account Opening Balance"	"Equity:Opening Balance Equity"		4,729.04
2	05/12/2009			"Account Opening Balance"	"Assets:Westmark Checking"	382.93	
				"Account Opening Balance"	"Equity:Opening Balance Equity"		382.93
3	05/12/2009			"Account Opening Balance"	"Assets:My Wallet"	206.00	
				"Account Opening Balance"	"Equity:Opening Balance Equity"		206.00
4	05/28/2009			"Funds Transfer"	"Assets:Westmark Savings"		500.00
				"Funds Transfer"	"Assets:Westmark Checking"	500.00	
5	05/29/2009		"Travelocity.com"	"Honeymoon plane tickets to Louisville, KY"	"Assets:Westmark Checking"		447.80
			"Travelocity.com"	"Honeymoon plane tickets"	"Expenses:Recreation"	447.80	
6	05/14/2009		"Gas Station"	"gas"	"Assets:Westmark Checking"		5.32
			"Gas Station"	"gas"	"Expenses:Transportation:Gas"	5.32	
7	05/21/2009			"food"	"Assets:My Wallet"		4.00
			"Snack"	"Vending machine cookie"	"Expenses:Consumables:Food"	1.00	
			"Eating Out"	"Lagoon Trip - Maddox"	"Expenses:Consumables:Food"	3.00	
8	05/29/2009		"Robert Carlsen"	"Robert: REU Internship"	"Income:Job Income"		1,125.00
			"Robert Carlsen"	"Robert: REU Internship"	"Assets:Westmark Savings"	965.92	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Federal"	100.08	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:State"	59.00	
			"Church of Jesus Christ of Latter Day Sain"	"tithing"	"Liabilities:Accounts Payable"		96.60
			"Church of Jesus Christ of Latter Day Sain"	"Robert: REU Internship"	"Expenses:Donations:Tithing"	96.60	
9	06/02/2009			"ISU FCU Opening Balance Deposit"	"Assets:My Wallet"		110.00
				"Opening Balance"	"Assets:ISU Savings"	109.00	
			"ISU Expenses:Taxes:Federal Credit Union"	"ISU FCU New Account fee"	"Expenses:Uncategorized Expense"	1.00	
10	06/09/2009		"Gas Station"		"Assets:Westmark Checking"		20.06
			"Gas Station"	"gas"	"Expenses:Transportation:Gas"	20.06	
11	06/12/2009		"Robert Carlsen"	"Robert: REU Internship"	"Income:Job Income"		1,125.00
			"Robert Carlsen"	"Robert: REU Internship"	"Assets:ISU Savings"	879.86	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Federal"	100.08	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:State"	59.00	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		87.99
			"Church of Jesus Christ of Latter Day Sain"	"Robert: REU Internship"	"Expenses:Donations:Tithing"	87.99	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Medicare"	16.31	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Social Security"	69.75	
12	06/11/2009		"Gas Station"		"Assets:Westmark Checking"		34.73
			"Gas Station"	"gas"	"Expenses:Transportation:Gas"	34.73	
13	06/22/2009			"Interest"	"Assets:Westmark Checking"	0.08	
				"Interest"	"Income:Interest Received"		0.08
14	06/19/2009			"Funds Transfer (closed the account)"	"Assets:Westmark Checking"		375.10
				"Funds Transfer"	"Assets:ISU Savings"	375.10	
15	06/19/2009			"Funds Transfer (closed the account)"	"Assets:Westmark Savings"		5,194.96
				"Funds Transfer"	"Assets:ISU Savings"	5,194.96	
16	06/19/2009			"Funds Transfer"	"Assets:ISU Savings"		400.00
				"Funds Transfer"	"Assets:ISU Checking"	400.00	
17	06/19/2009			"Seeds for garden"	"Assets:My Wallet"		21.00
				"Seeds for garden"	"Expenses:Consumables:Other"	21.00	
18	06/20/2009			"Dinner at Chillls"	"Assets:My Wallet"		6.00
				"Dinner at Chillis"	"Expenses:Consumables:Food"	6.00	
19	06/20/2009	"*"	"Gas Station"		"Assets:ISU Checking"		11.19
			"Gas Station"	"gas"	"Expenses:Transportation:Gas"	11.19	
20	06/23/2009			"birthday money"	"Assets:ISU Savings"	125.00	
				"birthday money"	"Income:Uncategorized Income"		125.00
21	06/23/2009			"birthday money"	"Assets:My Wallet"	65.00	
				"birthday money"	"Income:Uncategorized Income"		65.00
22	06/24/2009	"*"	"Gas Station"		"Assets:ISU Checking"		37.50
			"Gas Station"	"2.61/gal"	"Expenses:Transportation:Gas"	37.50	
23	06/29/2009		"Robert Carlsen"	"Robert: REU Internship"	"Income:Job Income"		1,125.00
			"Robert Carlsen"	"Robert: REU Internship"	"Assets:ISU Savings"	879.85	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Federal"	100.08	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:State"	59.00	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Medicare"	16.32	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Social Security"	69.75	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		87.99
			"Church of Jesus Christ of Latter Day Sain"	"Robert: REU Internship"	"Expenses:Donations:Tithing"	87.99	
24	06/29/2009			"Esther swim suit"	"Assets:My Wallet"		22.00
				"Esther swim suit"	"Expenses:Recreation"	22.00	
25	06/29/2009	"*"	"Gas Station"	"2.61/gal"	"Assets:ISU Checking"		37.46
			"Gas Station"	"2.61/gal"	"Expenses:Transportation:Gas"	37.46	
26	07/02/2009			"vending machine cookie"	"Assets:My Wallet"		1.00
				"vending machine cookie"	"Expenses:Consumables:Food"	1.00	
27	06/30/2009			"Interest"	"Assets:ISU Savings"	1.30	
				"Interest"	"Income:Interest Received"		1.30
28	07/03/2009	"*"	"FedEx Kinkos"	"Wedding Announcements"	"Assets:ISU Checking"		345.02
			"FedEx Kinkos"	"Wedding Announcements"	"Expenses:Uncategorized Expense"	345.02	
29	07/02/2009			"Funds Transfer"	"Assets:ISU Savings"		300.00
				"Funds Transfer"	"Assets:ISU Checking"	300.00	
30	07/02/2009	"*"	"Gas Station"	"2.59/gal"	"Assets:ISU Checking"		10.08
			"Gas Station"	"2.59/gal"	"Expenses:Transportation:Gas"	10.08	
31	07/06/2009			"Deposit"	"Assets:ISU Savings"	345.02	
			"Carol Beutler"	"Wedding Announcements"	"Income:Uncategorized Income"		345.02
32	07/06/2009			"Deposit"	"Assets:ISU Savings"	93.00	
			"ISU Bookstore"	"Sold Differential Equations book back"	"Income:Uncategorized Income"		93.00
33	07/06/2009			"Funds Transfer"	"Assets:My Wallet"		40.00
				"Funds Transfer"	"Assets:ISU Savings"	40.00	
34	07/06/2009			"Funds Transfer"	"Assets:ISU Savings"		300.00
				"Funds Transfer"	"Assets:ISU Checking"	300.00	
35	07/07/2009	"*"	"Amazon.com"	"textbooks for classes"	"Assets:ISU Checking"		165.70
			"Amazon.com"	"amazon"	"Expenses:Education:Books and Fees"	83.96	
			"Amazon.com"	"betterworldbooks"	"Expenses:Education:Books and Fees"	81.74	
36	07/07/2009	"*"	"half.com"	"books for classes"	"Assets:ISU Checking"		128.76
			"half.com"	"jchbooks"	"Expenses:Education:Books and Fees"	71.27	
			"half.com"	"abmbooks"	"Expenses:Education:Books and Fees"	57.49	
37	07/07/2009	"*"	"Gas Station"	"2.52/gal"	"Assets:ISU Checking"		14.69
			"Gas Station"	"2.52/gal"	"Expenses:Transportation:Gas"	14.69	
38	07/08/2009	"*"	"Gas Station"	"2.59/gal"	"Assets:ISU Checking"		30.12
			"Gas Station"	"2.59/gal"	"Expenses:Transportation:Gas"	30.12	
39	07/13/2009			"marriage license"	"Assets:My Wallet"		50.00
				"marriage license"	"Expenses:Uncategorized Expense"	50.00	
40	07/09/2009	"*"	"Gas Station"		"Assets:ISU Checking"		12.31
			"Gas Station"		"Expenses:Transportation:Gas"	12.31	
41	07/12/2009	"*"	"Gas Station"		"Assets:ISU Checking"		33.83
			"Gas Station"		"Expenses:Transportation:Gas"	33.83	
42	07/11/2009	"*"	"Gas Station"		"Assets:ISU Checking"		7.77
			"Gas Station"		"Expenses:Transportation:Gas"	7.77	
43	07/10/2009		"Robert Carlsen"	"Robert: REU Internship"	"Income:Job Income"		1,125.00
			"Robert Carlsen"	"Robert: REU Internship"	"Assets:ISU Savings"	879.86	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Federal"	100.08	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:State"	59.00	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Medicare"	16.31	
			"Big Brother"	"Robert: REU Internship"	"Expenses:Taxes:Social Security"	69.75	
			"Church of Jesus Christ of Latter Day Sain"	"tithing"	"Liabilities:Accounts Payable"		87.99
			"Church of Jesus Christ of Latter Day Sain"	"Robert: REU Internship"	"Expenses:Donations:Tithing"	87.99	
44	07/14/2009			"gift money from dad"	"Assets:My Wallet"	25.00	
				"gift money from dad"	"Income:Uncategorized Income"		25.00
45	07/14/2009			"Sprinkler for garden"	"Assets:My Wallet"		18.00
				"Sprinkler for garden"	"Expenses:Uncategorized Expense"	18.00	
				"bug killer for garden"	"Assets:My Wallet"		14.00
				"bug killer for garden"	"Expenses:Uncategorized Expense"	14.00	
46	07/18/2009	"*"	"Gas Station"		"Assets:ISU Checking"		26.43
			"Gas Station"		"Expenses:Transportation:Gas"	26.43	
47	07/18/2009	"*"	"Mama Inez"	"dinner date"	"Assets:ISU Checking"		23.04
			"Mama Inez"	"dinner date"	"Expenses:Consumables:Food"	23.04	
48	07/18/2009			"Funds Transfer"	"Assets:ISU Savings"		400.00
				"Funds Transfer"	"Assets:ISU Checking"	400.00	
49	07/18/2009			"Deposit"	"Assets:ISU Savings"	25.00	
